id,author
0908.0572v1,Suresh Venkatasubramanian
0908.0570v1,Piyush Rai
0908.0570v1,Hal Daumé III
0908.1258v1,Steve Hanneke
0908.1258v1,Wenjie Fu
0908.1258v1,Eric Xing
0908.2284v1,Jacob Bien
0908.2284v1,Robert Tibshirani
0908.2359v2,Olivier Cappé
0908.2579v2,Tom Diethe
0908.2579v2,John Shawe-Taylor
0908.2644v1,Marvin Weinstein
0908.2644v1,David Horn
0908.2724v1,David R. Hardoon
0908.2724v1,John Shawe-Taylor
0908.3321v1,Łukasz Łaniewski-Wołłk
0908.3458v1,Steffen Grünewälder
0908.3458v1,Klaus Obermayer
0908.3817v2,Marco Scutari
0908.4425v1,Maria Angelica Cueto
0908.4425v1,Jason Morton
0908.4425v1,Bernd Sturmfels
0908.4489v3,Nicolas Dobigeon
0908.4489v3,Jean-Yves Tourneret
0909.0400v1,Noam Shental
0909.0400v1,Amnon Amir
0909.0400v1,Or Zuk
0909.0934v1,Xin Gao
0909.0934v1,Daniel Q. Pu
0909.0934v1,Yuehua Wu
0909.0934v1,Hong Xu
0909.1234v4,Gabriel C. G. de Abreu
0909.1234v4,Rodrigo Labouriau
0909.1234v4,David Edwards
0909.0991v1,Marco Cuturi
0909.1373v3,Seyoung Kim
0909.1373v3,Eric P. Xing
0909.1418v1,Mugizi Rwebangira
0909.1440v1,Rodolphe Jenatton
0909.1440v1,Guillaume Obozinski
0909.1440v1,Francis Bach
0909.1685v4,Marco Scutari
0909.1884v2,Sylvain Arlot
0909.1884v2,Francis Bach
0909.1933v2,Liva Ralaivola
0909.1933v2,Marie Szafranski
0909.1933v2,Guillaume Stempfel
0909.2332v1,David R. Hardoon
0909.2332v1,Zakria Hussain
0909.2332v1,John Shawe-Taylor
0909.2353v1,Ery Arias-Castro
0909.2904v2,Yusuke Komatsu
0909.2904v2,Shohei Shimizu
0909.2904v2,Hidetoshi Shimodaira
0909.3595v1,Ikhlef Bechar
0909.4386v1,Dominik Janzing
0909.4386v1,Patrik O. Hoyer
0909.4386v1,Bernhard Schoelkopf
0909.4395v1,Laurent Galluccio
0909.4395v1,Olivier J. J. Michel
0909.4395v1,Pierre Comon
0909.4395v1,Eric Slezak
0909.4395v1,Alfred O. Hero
0909.4370v2,Devavrat Shah
0909.4370v2,Tauhid Zaman
0909.4588v1,Marcus Hutter
0909.5026v2,Taiji Suzuki
0909.5026v2,Ryota Tomioka
0909.5194v2,Lauren A. Hannah
0909.5194v2,David M. Blei
0909.5194v2,Warren B. Powell
0909.5216v2,Vincent Y. F. Tan
0909.5216v2,Animashree Anandkumar
0909.5216v2,Alan S. Willsky
0909.5422v1,Stefano Melacci
0909.5422v1,Mikhail Belkin
0910.0115v1,Philipp Hennig
0910.0526v1,Holger Hoefling
0910.0610v2,Sham M. Kakade
0910.0610v2,Shai Shalev-Shwartz
0910.0610v2,Ambuj Tewari
0910.0722v1,Sara A. van de Geer
0910.0722v1,Peter Bühlmann
0910.0483v1,Christos Dimitrakakis
0910.0483v1,Aikaterini Mitrokotsa
0910.0949v1,Dariusz Plewczynski
0910.1013v1,Stephane Canu
0910.1013v1,Xavier Mary
0910.1013v1,Alain Rakotomamonjy
0910.1022v3,David M. Blei
0910.1022v3,Peter I. Frazier
0910.2145v2,Nicolai Meinshausen
0910.2340v1,Gérard Biau
0910.2340v1,Benoit Cadre
0910.2340v1,Laurent Rouvière
0910.2517v1,Zhiyi Chi
0910.3099v1,Paul Fearnhead
0910.3099v1,Zhen Liu
0910.4135v1,Florin Popescu
0910.4135v1,Daniel Renz
0910.4397v5,Robert D. Nowak
0910.4636v3,J. Lember
