"title","year","keyword"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"unsupervised learning"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"algorithm"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"data"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"modeling"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"learning"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"data"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"learning"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"time-series"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"algorithm"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"learning"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"ai"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"ai"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"ai"
"Shift-Invariance Sparse Coding for Audio Classification",2012,"ai"
"Learning Factor Graphs in Polynomial Time & Sample Complexity",2012,"learning"
"Learning Factor Graphs in Polynomial Time & Sample Complexity",2012,"graph"
"Learning Factor Graphs in Polynomial Time & Sample Complexity",2012,"ai"
"Learning Factor Graphs in Polynomial Time & Sample Complexity",2012,"factor graphs"
"Learning Factor Graphs in Polynomial Time & Sample Complexity",2012,"data"
"Learning Factor Graphs in Polynomial Time & Sample Complexity",2012,"learning"
"Learning Factor Graphs in Polynomial Time & Sample Complexity",2012,"factor graphs"
"Learning New Facts From Knowledge Bases With Neural Tensor Networks and
  Semantic Word Vectors",2013,"patterns"
"Learning New Facts From Knowledge Bases With Neural Tensor Networks and
  Semantic Word Vectors",2013,"ai"
"Learning New Facts From Knowledge Bases With Neural Tensor Networks and
  Semantic Word Vectors",2013,"ai"
"Learning New Facts From Knowledge Bases With Neural Tensor Networks and
  Semantic Word Vectors",2013,"predict"
"Learning New Facts From Knowledge Bases With Neural Tensor Networks and
  Semantic Word Vectors",2013,"predict"
"Learning New Facts From Knowledge Bases With Neural Tensor Networks and
  Semantic Word Vectors",2013,"data"
"Learning New Facts From Knowledge Bases With Neural Tensor Networks and
  Semantic Word Vectors",2013,"data"
"Zero-Shot Learning Through Cross-Modal Transfer",2013,"training "
"Zero-Shot Learning Through Cross-Modal Transfer",2013,"data"
"Zero-Shot Learning Through Cross-Modal Transfer",2013,"ai"
"Zero-Shot Learning Through Cross-Modal Transfer",2013,"learning"
"Zero-Shot Learning Through Cross-Modal Transfer",2013,"ai"
"Zero-Shot Learning Through Cross-Modal Transfer",2013,"training "
"Zero-Shot Learning Through Cross-Modal Transfer",2013,"ai"
"PEGASUS: A Policy Search Method for Large MDPs and POMDPs",2013,"searching"
"PEGASUS: A Policy Search Method for Large MDPs and POMDPs",2013,"searching"
"PEGASUS: A Policy Search Method for Large MDPs and POMDPs",2013,"learning"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"algorithms"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"unsupervised learning"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"algorithms"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"data"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"algorithms"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"analysis"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"data"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"data"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"data"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"data"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"predict"
"An Information-Theoretic Analysis of Hard and Soft Assignment Methods
  for Clustering",2013,"algorithm"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"deep neural networks"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"speech recognition"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"acoustic models"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"training "
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"speech recognition"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"metrics"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"ai"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"neural networks"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"modeling"
