"title","author","genre","rating","img","numRater","type","price"
"D DAY Through German Eyes - Book Two - More hidden stories from June 6th 1944 (D DAY - Through German Eyes)","Holger Eckhertz","History","4.6","https://images-na.ssl-images-amazon.com/images/I/81XuHXvjUFL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1310","Kindle Edition","2.99"
"Thunder Dog","Michael Hingson","History","4.6","https://images-na.ssl-images-amazon.com/images/I/91%2BBtAzNeQL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1410","Kindle Edition","9.99"
"Fly Girls","Keith O'Brien","History","4.5","https://images-na.ssl-images-amazon.com/images/I/A11Q6Owtq6L._AC_UL200_SR200,200_.jpg","121","Audible Audiobook"," Free with Audible trial"
"What You Should Know About Politics . . . But Don't","Jessamyn Conrad","History","4.4","https://images-na.ssl-images-amazon.com/images/I/71Vu8zlzT9L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","33","Kindle Edition","1.99"
"Five Presidents","Clint Hill","History","4.6","https://images-na.ssl-images-amazon.com/images/I/81XDguZCJgL._AC_UL200_SR200,200_.jpg","711","Paperback","14.7"
"Man's Search for Meaning","Viktor E. Frankl","History","4.7","https://images-na.ssl-images-amazon.com/images/I/71OLtGMB0PL._AC_UL200_SR200,200_.jpg","4427","Paperback","9.89"
"Prague Winter","Madeleine Korbel Albright","History","4.4","https://images-na.ssl-images-amazon.com/images/I/81RKgKQg1nL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","544","Kindle Edition","2.99"
"Stuff Matters","Mark Miodownik","History","4.5","https://images-na.ssl-images-amazon.com/images/I/91%2BmYU33wdL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","596","Kindle Edition","9.99"
"The Library Book","Susan Orlean","History","4.2","https://images-na.ssl-images-amazon.com/images/I/91OME-jyFmL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","484","Kindle Edition","14.99"
"Madame Fourcade's Secret War","Lynne Olson","History",NA,"https://images-na.ssl-images-amazon.com/images/I/81WB49rtZQL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg",NA,"Kindle Edition","13.99"
"Homo Deus","Yuval Noah Harari","History","4.4","https://images-na.ssl-images-amazon.com/images/I/81mpU5GWymL._AC_UL200_SR200,200_.jpg","1363","Audible Audiobook"," Free with Audible trial"
"Spearhead","Adam Makos","History","5.0","https://images-na.ssl-images-amazon.com/images/I/91o6z7hkXVL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","44","Kindle Edition","13.99"
"The Forgotten 500","Gregory A. Freeman","History","4.6","https://images-na.ssl-images-amazon.com/images/I/91z1srlFL0L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1297","Kindle Edition","1.99"
"Boomerang","Michael Lewis","History","4.3","https://images-na.ssl-images-amazon.com/images/I/9197P6Wt7qL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1200","Kindle Edition","9.99"
"The First Conspiracy","Brad Meltzer","History","4.2","https://images-na.ssl-images-amazon.com/images/I/81r6B3kLu-L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","171","Kindle Edition","14.99"
