"title","author","genre","rating","img","numRater","type","price"
"Outliers","Malcolm Gladwell","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/61jTKFVrRnL._AC_UL200_SR200,200_.jpg","5152","Audible Audiobook"," Free with Audible trial"
"There's No Place Like Space","Tish Rabe","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/91BdqQL%2BuJL._AC_UL200_SR200,200_.jpg","804","Hardcover","6"
"Astrophysics for People in a Hurry","Neil deGrasse Tyson","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/A1PnnHu0ZXL._AC_UL200_SR200,200_.jpg","3800","Audible Audiobook"," Free with Audible trial"
"The Untethered Soul","Michael A. Singer","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/91k3XdhRfPL._AC_UL200_SR200,200_.jpg","4888","Audible Audiobook"," Free with Audible trial"
"Stuff Matters","Mark Miodownik","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/91%2BmYU33wdL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","596","Kindle Edition","9.99"
"The Uninhabitable Earth","David Wallace-Wells","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/71Hv8gqWJOL._AC_UL200_SR200,200_.jpg","25","Audible Audiobook"," Free with Audible trial"
"The Untethered Soul","Michael A. Singer","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/61iqFXsfUkL._AC_UL200_SR200,200_.jpg","4888","Paperback","16.16"
"Homo Deus","Yuval Noah Harari","Science & Math","4.4","https://images-na.ssl-images-amazon.com/images/I/81mpU5GWymL._AC_UL200_SR200,200_.jpg","1363","Audible Audiobook"," Free with Audible trial"
"The Power of Habit","Charles Duhigg","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/819ZixpQzUL._AC_UL200_SR200,200_.jpg","4843","Paperback","13.07"
"Grit","Angela Duckworth","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/71%2B7ZRI3y6L._AC_UL200_SR200,200_.jpg","1150","Paperback","9.88"
"Walden (AmazonClassics Edition)","Henry David Thoreau","Science & Math","4.2","https://images-na.ssl-images-amazon.com/images/I/81TvnitNAxL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1797","Kindle Edition","2.99"
"Mama's Last Hug","Frans de Waal","Science & Math","5.0","https://images-na.ssl-images-amazon.com/images/I/81ypZx3jvZL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3","Kindle Edition","14.87"
"No-Drama Discipline","Daniel J. Siegel","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/71mx4AuVJUL._AC_UL200_SR200,200_.jpg","430","Paperback","10.87"
"The Body Keeps the Score","Bessel Van der Kolk MD","Science & Math","4.8","https://images-na.ssl-images-amazon.com/images/I/81alkhJhL%2BL._AC_UL200_SR200,200_.jpg","1878","Audible Audiobook"," Free with Audible trial"
"Astrophysics for People in a Hurry","Neil deGrasse Tyson","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/91w70Ax2LhL._AC_UL200_SR200,200_.jpg","3800","Hardcover","13.26"
"Midnight in Chernobyl","Adam Higginbotham","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/81xhsJbTodL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","31","Kindle Edition","14.99"
"Digital Minimalism","Cal Newport","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81Zvj0ewCfL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","63","Kindle Edition","13.99"
"The Truth About Men","DeVon Franklin","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81wvfiSa5nL._AC_UL200_SR200,200_.jpg","38","Hardcover","15.6"
"Grit","Angela Duckworth","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81HofIG4iiL._AC_UL200_SR200,200_.jpg","1150","Audible Audiobook"," Free with Audible trial"
"Wine Grapes","Jancis Robinson","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/91kAMCDiYzL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","109","Kindle Edition","3.99"
"The Story of Earth","Robert M. Hazen","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/71BKKKcVW3L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","187","Kindle Edition","2.99"
"Why We Sleep","Matthew Walker PhD","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/81puhCkxpbL._AC_UL200_SR200,200_.jpg","478","Paperback","11.55"
"Attached","Amir Levine","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/41cjklJxYCL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1061","Kindle Edition","1.99"
"Quiet","Susan Cain","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81vOO4hRh0L._AC_UL200_SR200,200_.jpg","5630","Paperback","12.79"
"Influence","Robert B. Cialdini","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/815m3SEAXZL._AC_UL200_SR200,200_.jpg","2073","Audible Audiobook"," Free with Audible trial"
"Why We Sleep","Matthew Walker PhD","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/91sclAONMfL._AC_UL200_SR200,200_.jpg","478","Audible Audiobook"," Free with Audible trial"
"Attached","Amir Levine","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/7132j7rE13L._AC_UL200_SR200,200_.jpg","1061","Paperback","10.84"
"Astrophysics for People in a Hurry","Neil de Grasse Tyson","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/91ZCU63G3QL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3800","Kindle Edition","9.99"
"Midnight in Chernobyl","Adam Higginbotham","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/81xhsJbTodL._AC_UL200_SR200,200_.jpg","31","Hardcover","17.97"
"Algorithms to Live By","Brian Christian","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/815yyvU1WvL._AC_UL200_SR200,200_.jpg","289","Audible Audiobook"," Free with Audible trial"
"Women in Science","Rachel Ignotofsky","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/91W1TKYfMzL._AC_UL200_SR200,200_.jpg","581","Hardcover","11.55"
"The Rescue (Ryan Decker Book 1)","Steven Konkoly","Literature & Fiction","4.9","https://images-na.ssl-images-amazon.com/images/I/81yBS13o4ML.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","49","Kindle Edition","4.99"
"I'm Fine and Neither Are You","Camille Pagán","Literature & Fiction","4.6","https://images-na.ssl-images-amazon.com/images/I/8161aGDk8zL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","65","Kindle Edition","4.99"
"A Lily in the Light","Kristin Fields","Literature & Fiction","4.0","https://images-na.ssl-images-amazon.com/images/I/81LOcV9qHGL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","19","Kindle Edition","4.99"
"Beyond the Shadow of Night","Ray Kingfisher","Literature & Fiction","4.4","https://images-na.ssl-images-amazon.com/images/I/81ofSAMOB0L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","8","Kindle Edition","4.99"
"Tumble (Dogwood Lane Book 1)","Adriana Locke","Literature & Fiction","4.4","https://images-na.ssl-images-amazon.com/images/I/81WsF7FVfTL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","261","Kindle Edition","3.99"
"Where the Crawdads Sing","Delia Owens","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/81WWiiLgEyL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","5859","Kindle Edition","12.99"
"Surprise Delivery","R.R. Banks","Literature & Fiction","4.1","https://images-na.ssl-images-amazon.com/images/I/81Fkeqfu4cL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","231","Kindle Edition","0.99"
"Where the Forest Meets the Stars","Glendy Vanderah","Literature & Fiction","4.7","https://images-na.ssl-images-amazon.com/images/I/918hXn4Uy1L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1597","Kindle Edition","4.99"
"A Curve in the Road","Julianne MacLean","Literature & Fiction","4.3","https://images-na.ssl-images-amazon.com/images/I/81t8XieViXL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","755","Kindle Edition","1.99"
"The Handmaid's Tale","Margaret Atwood","Literature & Fiction","4.1","https://images-na.ssl-images-amazon.com/images/I/91XT4tkFFeL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","14012","Kindle Edition","9.99"
"Where the Crawdads Sing","Delia Owens","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/81vFpi2fIWL._AC_UL200_SR200,200_.jpg","5860","Audible Audiobook"," Free with Audible trial"
"Stillhouse Lake","Rachel Caine","Literature & Fiction","4.5","https://images-na.ssl-images-amazon.com/images/I/81iL5Z5fZZL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","9368","Kindle Edition","1.99"
"The Beantown Girls","Jane Healey","Literature & Fiction","4.7","https://images-na.ssl-images-amazon.com/images/I/91lxhcUM91L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","529","Kindle Edition","3.99"
"Verses for the Dead (Agent Pendergast)","Douglas Preston","Literature & Fiction","4.3","https://images-na.ssl-images-amazon.com/images/I/91GtNT13wsL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","505","Kindle Edition","14.99"
"What the Wind Knows","Amy Harmon","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/81dmFh6wwIL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","766","Kindle Edition","4.99"
"Thief of Corinth","Tessa Afshar","Literature & Fiction","4.7","https://images-na.ssl-images-amazon.com/images/I/910YjzYm4RL._AC_UL200_SR200,200_.jpg","107","Audible Audiobook"," Free with Audible trial"
"Beneath a Scarlet Sky","Mark Sullivan","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/81wRnKbEwlL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","24053","Kindle Edition","5.99"
"The Storyteller's Secret","Sejal Badani","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/91lUuLjF38L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","5894","Kindle Edition","4.99"
"On the Island","Tracey Garvis Graves","Literature & Fiction","4.6","https://images-na.ssl-images-amazon.com/images/I/41QrMldbEIL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","2982","Kindle Edition","1.99"
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/91G2aMQuu9L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","35429","Kindle Edition","8.99"
"Where the Crawdads Sing","Delia Owens","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/81WWiiLgEyL._AC_UL200_SR200,200_.jpg","5859","Hardcover","16.2"
"Southern Player","Jessica Peterson","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/91JnVXe027L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","125","Kindle Edition","2.99"
"Every Breath","Nicholas Sparks","Literature & Fiction","4.7","https://images-na.ssl-images-amazon.com/images/I/91BAelByGTL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1530","Kindle Edition","12.99"
"The Victory Garden","Rhys Bowen","Literature & Fiction","4.4","https://images-na.ssl-images-amazon.com/images/I/918FZVINhfL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","232","Kindle Edition","5.99"
"Ex's Best Friend","Aubrey Wright","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/91UHAEGH1rL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","68","Kindle Edition","0.99"
"Lethal White (A Cormoran Strike Novel Book 4)","Robert Galbraith","Literature & Fiction","4.5","https://images-na.ssl-images-amazon.com/images/I/91MR5H6-xiL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1226","Kindle Edition","14.99"
"The Perfect Child","Lucinda Berry","Literature & Fiction","4.1","https://images-na.ssl-images-amazon.com/images/I/81d9VVIof9L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","898","Kindle Edition","4.99"
"All This I Will Give to You","Dolores Redondo","Literature & Fiction","4.6","https://images-na.ssl-images-amazon.com/images/I/91vYGWcSwCL._AC_UL200_SR200,200_.jpg","95","Audible Audiobook"," Free with Audible trial"
"Runner (Sam Dryden series Book 1)","Patrick Lee","Literature & Fiction","4.5","https://images-na.ssl-images-amazon.com/images/I/91C3MZF%2BeVL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","329","Kindle Edition","1.99"
"The Killer Collective","Barry Eisler","Literature & Fiction","4.4","https://images-na.ssl-images-amazon.com/images/I/91jPmMqEInL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1382","Kindle Edition","4.99"
"X (Kinsey Millhone Book 24)","Sue Grafton","Literature & Fiction","4.3","https://images-na.ssl-images-amazon.com/images/I/91vOhQZWmQL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","4415","Kindle Edition","1.99"
"Flirting with the Frenemy (Bro Code Book 1)","Pippa Grant","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/91ieDIkklhL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","138","Kindle Edition","2.99"
"Since You've Been Gone","Christa Allan","Literature & Fiction","4.4","https://images-na.ssl-images-amazon.com/images/I/81WXtoC--9L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","394","Kindle Edition","1.99"
"Winter Cottage","Mary Ellen Taylor","Literature & Fiction","4.6","https://images-na.ssl-images-amazon.com/images/I/91ME3PUN8RL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","271","Kindle Edition","4.99"
"The Strange Journey of Alice Pendelbury","Marc Levy","Literature & Fiction","4.5","https://images-na.ssl-images-amazon.com/images/I/91TqbVPIUKL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","142","Kindle Edition","4.99"
"In Farleigh Field","Rhys Bowen","Literature & Fiction","4.2","https://images-na.ssl-images-amazon.com/images/I/91VOdSaTwjL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","4905","Kindle Edition","5.49"
"Mr Spencer","T L Swan","Literature & Fiction","4.8","https://images-na.ssl-images-amazon.com/images/I/81ucxnddv7L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","203","Kindle Edition","2.99"
"Since We Fell","Dennis Lehane","Literature & Fiction","3.6","https://images-na.ssl-images-amazon.com/images/I/81bsOz3WcDL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","860","Kindle Edition","11.99"
"The Secret Orphan","Glynis Peters","Literature & Fiction","4.5","https://images-na.ssl-images-amazon.com/images/I/81-oVIBpZvL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","266","Kindle Edition","0.99"
"My Sister's Grave (Tracy Crosswhite Book 1)","Robert Dugoni","Literature & Fiction","4.4","https://images-na.ssl-images-amazon.com/images/I/A13hEYiNUTL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","15097","Kindle Edition","4.99"
"A World Full of Strangers","Cynthia Freeman","Literature & Fiction","4.0","https://images-na.ssl-images-amazon.com/images/I/913qfmyyH8L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","53","Kindle Edition","1.99"
"The Spitfire Girls","Soraya M. Lane","Literature & Fiction","4.4","https://images-na.ssl-images-amazon.com/images/I/91cAuXnoucL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","30","Kindle Edition","4.99"
"Winter World (The Long Winter Book 1)","A.G. Riddle","Literature & Fiction","4.9","https://images-na.ssl-images-amazon.com/images/I/81LLiusa0xL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","41","Kindle Edition","4.99"
"Edge of Eternity (The Century Trilogy, Book 3)","Ken Follett","Literature & Fiction","4.1","https://images-na.ssl-images-amazon.com/images/I/81QFdyHba6L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","16474","Kindle Edition","1.99"
"Blue Moon","Lee Child","Literature & Fiction",NA,"https://images-na.ssl-images-amazon.com/images/I/91Rs-w7fBkL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg",NA,"Kindle Edition","14.99"
"The Magnolia Inn","Carolyn Brown","Literature & Fiction","4.4","https://images-na.ssl-images-amazon.com/images/I/91mVAN9nCCL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","940","Kindle Edition","4.99"
"Inevitable","C.J. Petit","Literature & Fiction","4.7","https://images-na.ssl-images-amazon.com/images/I/61VPhR5TVHL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","89","Kindle Edition","0.99"
"Heartless (An Enemies To Lovers Novel Book 1)","Michelle Heard","Literature & Fiction","4.4","https://images-na.ssl-images-amazon.com/images/I/91RBciHDw0L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","223","Kindle Edition","0.99"
"Daddy","Katy Kaylee","Literature & Fiction","4.5","https://images-na.ssl-images-amazon.com/images/I/81g6Ho7bvlL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","131","Kindle Edition","0.99"
"The Beach House","Mary Alice Monroe","Literature & Fiction","4.6","https://images-na.ssl-images-amazon.com/images/I/91GU8k9lXML._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","2411","Kindle Edition","6.99"
"Becoming","Michelle Obama","Law","4.9","https://images-na.ssl-images-amazon.com/images/I/81h2gWPTYJL._AC_UL200_SR200,200_.jpg","9239","Hardcover","19.47"
"Becoming","Michelle Obama","Law","4.9","https://images-na.ssl-images-amazon.com/images/I/81h2gWPTYJL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","9239","Kindle Edition","14.99"
"My Own Words","Ruth Bader Ginsburg","Law","4.3","https://images-na.ssl-images-amazon.com/images/I/A1hnpsagQuL._AC_UL200_SR200,200_.jpg","222","Audible Audiobook"," Free with Audible trial"
"Mindset","Carol S. Dweck","Law","4.5","https://images-na.ssl-images-amazon.com/images/I/81o--FP-hPL._AC_UL200_SR200,200_.jpg","2546","Paperback","10.2"
"Just Mercy","Bryan Stevenson","Law","4.8","https://images-na.ssl-images-amazon.com/images/I/91nwvW60WsL._AC_UL200_SR200,200_.jpg","3414","Paperback","12"
"Just Mercy","Bryan Stevenson","Law","4.8","https://images-na.ssl-images-amazon.com/images/I/81GHc5Ghr8L._AC_UL200_SR200,200_.jpg","3414","Audible Audiobook"," Free with Audible trial"
"The New Jim Crow","Michelle Alexander","Law","4.7","https://images-na.ssl-images-amazon.com/images/I/91dFNPI36sL._AC_UL200_SR200,200_.jpg","2898","Paperback","13.56"
"Michelle Obama","Peter Slevin","Law","4.4","https://images-na.ssl-images-amazon.com/images/I/81%2Bar1xxSwL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","168","Kindle Edition","2.99"
"Doing Justice","Preet Bharara","Law",NA,"https://images-na.ssl-images-amazon.com/images/I/712vGmUtzFL._AC_UL200_SR200,200_.jpg",NA,"Hardcover","22.28"
"Doing Justice","Preet Bharara","Law",NA,"https://images-na.ssl-images-amazon.com/images/I/71M5qe%2B-TpL._AC_UL200_SR200,200_.jpg",NA,"Audible Audiobook"," Free with Audible trial"
"The Mueller Report","Robert S. Mueller III","Law",NA,"https://images-na.ssl-images-amazon.com/images/I/71m-BaKlt0L._AC_UL200_SR200,200_.jpg",NA,"Paperback","9.37"
"Licensed to Lie","Sidney Powell","Law","4.9","https://images-na.ssl-images-amazon.com/images/I/81QPqGq2QuL._AC_UL200_SR200,200_.jpg","749","Paperback","13.36"
"Bending Toward Justice","Doug Jones","Law","4.1","https://images-na.ssl-images-amazon.com/images/I/81J1FpSS3IL._AC_UL200_SR200,200_.jpg","7","Hardcover","19.49"
"Until We Reckon","Danielle Sered","Law",NA,"https://images-na.ssl-images-amazon.com/images/I/919pKFBMkvL._AC_UL200_SR200,200_.jpg",NA,"Hardcover","17.7"
"10 Actual, Official LSAT PrepTests Volume VI","Law School Admission Council","Law","4.6","https://images-na.ssl-images-amazon.com/images/I/51nb09SEpHL._AC_UL200_SR200,200_.jpg","58","Paperback","23.11"
"The Unwinding of the Miracle","Julie Yip-Williams","Law","4.6","https://images-na.ssl-images-amazon.com/images/I/71kg9i1tNLL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","46","Kindle Edition","13.99"
"The Sun Does Shine","Anthony Ray Hinton","Law","4.9","https://images-na.ssl-images-amazon.com/images/I/81ZG9iL%2BykL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","703","Kindle Edition","13.99"
"All Good Things","Rosemary Reeve","Law","4.9","https://images-na.ssl-images-amazon.com/images/I/81-WYu9ah6L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","33","Kindle Edition","0.99"
"The Mastermind","Evan Ratliff","Law","4.6","https://images-na.ssl-images-amazon.com/images/I/81C%2BFAn%2BZFL._AC_UL200_SR200,200_.jpg","34","Audible Audiobook"," Free with Audible trial"
"A Higher Loyalty","James Comey","Law","4.7","https://images-na.ssl-images-amazon.com/images/I/71npJ8hgRtL._AC_UL200_SR200,200_.jpg","4640","Audible Audiobook"," Free with Audible trial"
"The Adventures of Big-Foot Wallace","John C. Duval","Law","4.2","https://images-na.ssl-images-amazon.com/images/I/9158p9qyGAL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","40","Kindle Edition","0.99"
"The Color of Law","Richard Rothstein","Law","4.8","https://images-na.ssl-images-amazon.com/images/I/81s1Pbsr1PL._AC_UL200_SR200,200_.jpg","338","Paperback","12.2"
"The New Jim Crow","Michelle Alexander","Law","4.7","https://images-na.ssl-images-amazon.com/images/I/81hjZGeVqML._AC_UL200_SR200,200_.jpg","2898","Audible Audiobook"," Free with Audible trial"
"The Unwinding of the Miracle","Julie Yip-Williams","Law","4.6","https://images-na.ssl-images-amazon.com/images/I/71kg9i1tNLL._AC_UL200_SR200,200_.jpg","46","Hardcover","18.36"
"Mindhunter","John E. Douglas","Law","4.4","https://images-na.ssl-images-amazon.com/images/I/81sbS1%2Bl7PL._AC_UL200_SR200,200_.jpg","616","Audible Audiobook"," Free with Audible trial"
"Just Mercy","Bryan Stevenson","Law","4.8","https://images-na.ssl-images-amazon.com/images/I/91zGz1oe8hL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3414","Kindle Edition","12.99"
"Notorious RBG","Irin Carmon","Law","4.5","https://images-na.ssl-images-amazon.com/images/I/51R4tizEs%2BL._AC_UL200_SR200,200_.jpg","821","Hardcover","15.63"
"The Innocent Man","John Grisham","Law","4.2","https://images-na.ssl-images-amazon.com/images/I/91Z6s2yqe1L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","2404","Kindle Edition","9.99"
"Separate","Steve Luxenberg","Law","5.0","https://images-na.ssl-images-amazon.com/images/I/8171latqtEL._AC_UL200_SR200,200_.jpg","5","Hardcover","22.48"
"Robert's Rules of Order Newly Revised (Robert's Rules of Order (Paperback))","Henry M. Robert III","Law","4.6","https://images-na.ssl-images-amazon.com/images/I/41Y99CatobL._AC_UL200_SR200,200_.jpg","848","Paperback","12.88"
"A Higher Loyalty","James Comey","Law","4.7","https://images-na.ssl-images-amazon.com/images/I/71sOiC510PL._AC_UL200_SR200,200_.jpg","4640","Hardcover","15"
"Doing Justice","Preet Bharara","Law",NA,"https://images-na.ssl-images-amazon.com/images/I/712vGmUtzFL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg",NA,"Kindle Edition","14.99"
"Becoming","Michelle Obama","Law","4.4","https://images-na.ssl-images-amazon.com/images/I/91ewKs0MGlL._AC_UL200_SR200,200_.jpg","241","Paperback","15.96"
"The LSAT Trainer","Mike Kim","Law","4.5","https://images-na.ssl-images-amazon.com/images/I/61cc6p%2BagIL._AC_UL200_SR200,200_.jpg","315","Paperback","49.43"
"The Mastermind","Evan Ratliff","Law","4.6","https://images-na.ssl-images-amazon.com/images/I/81VtpRIVQ8L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","34","Kindle Edition","13.99"
"Becoming","Michelle Obama","Law","4.9","https://images-na.ssl-images-amazon.com/images/I/81-Wzv35LNL._AC_UL200_SR200,200_.jpg","9239","Paperback","23.45"
"Quicken Willmaker Plus 2019 Edition","Editors of Nolo","Law","4.2","https://images-na.ssl-images-amazon.com/images/I/81x316AyHzL._AC_UL200_SR200,200_.jpg","20","Paperback","49.24"
"The Unwinding of the Miracle","Julie Yip-Williams","Law","4.6","https://images-na.ssl-images-amazon.com/images/I/715XU4qn9BL._AC_UL200_SR200,200_.jpg","46","Audible Audiobook"," Free with Audible trial"
"10 Actual, Official LSAT PrepTests Volume V","Law School Admission Council","Law","4.7","https://images-na.ssl-images-amazon.com/images/I/41nM%2BRt7N9L._AC_UL200_SR200,200_.jpg","174","Paperback","21.89"
"My Own Words","Ruth Bader Ginsburg","Law","4.3","https://images-na.ssl-images-amazon.com/images/I/81nkCYQj2gL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","222","Kindle Edition","10.99"
"How to Debate Leftists and Destroy Them","Ben Shapiro","Law","4.5","https://images-na.ssl-images-amazon.com/images/I/81LHKEDiDxL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1291","Kindle Edition","0.99"
